,index,date,yearly_trend_calc_2019,pred_2019,yearly_trend_calc_2018,pred_2018,yearly_trend_calc_2017,pred_2017,yearly_trend_calc_2016,pred_2016,yearly_trend_calc_2015,pred_2015,yearly_trend_calc_2014,pred_2014,num_harmed,non_observation,year,nyd
450,450,2015-03-27,20.053489444816933,95.70334098389424,20.12734507216146,95.76563019782193,21.92011389663162,95.67757047953837,21.358346922227668,95.75625922623051,22.336750698789032,97.35665735192173,9.616418046308567,80.99953599175149,100.0,,2015,
451,451,2015-03-28,43.069232146923014,124.83087726135591,42.72652964142071,124.97239695165825,44.490091514409016,125.52459214996091,44.06095727568015,125.34221147121559,43.914137740400164,125.50262895364204,25.00660533511116,107.42223437202011,120.0,,2015,
452,452,2015-03-29,23.48156100485147,134.29583122743364,23.23567623781493,134.5741891513226,24.79538040623396,135.5291057710234,19.105892898391318,129.97345025506985,20.596300309290996,130.31086265810342,-0.8526265020596213,108.05084102627181,107.0,,2015,
453,453,2015-03-30,-20.176711907954882,100.03397627298054,-20.807556924266166,100.02496524133124,-19.940741488859658,100.6545518712534,-16.978910264185018,98.53357355647073,-15.029516826923825,99.47579908359693,-26.787786788238762,82.80596657390036,93.0,,2015,
454,454,2015-03-31,8.894705310396802,94.78128079092674,8.085929769841101,94.26742751904293,9.633209411363922,95.21478164643665,8.085661047098952,92.18228947703565,10.604497437459528,94.25740971453824,-8.567519657865262,75.83679246659747,105.0,,2015,
455,455,2015-04-01,14.276937371354734,94.85457370567126,14.6525757951607,94.98021441469493,15.541092453716416,95.54631255735522,15.179135927643813,92.95560854391486,17.986452539041053,96.40152675034206,1.879397518199582,79.36103737692063,96.0,,2015,
456,456,2015-04-02,10.098219231465166,90.69850838160666,9.428820887645273,90.3777797600136,10.364407348427065,90.5658951156292,9.370759679950922,87.95543714987208,11.778085434545801,92.31357724179664,-6.772325674901111,74.26863225622046,110.0,,2015,
457,457,2015-04-03,20.32272522181745,96.72138048772588,20.731376034310713,96.9905726495305,22.912008323823486,97.99784279375267,21.621832844379398,95.25172920838061,22.676538265005192,99.09416694627114,9.55156072865293,85.52153354888719,116.0,,2015,
458,458,2015-04-04,43.33067220229991,125.71107684715568,43.32359401485907,126.11161947767332,45.47937623847962,127.86068384873312,44.30690136666948,125.27558450214994,44.2580187498079,127.41839142037044,24.955419915142343,112.18418766608437,130.0,,2015,
459,459,2015-04-05,23.735799166672706,135.06853376054278,23.826635309638363,135.65430450848527,25.762841215440062,137.88896572774763,19.338738100782052,130.36777541151082,20.872067362325254,132.38438088810685,-0.8870394547636806,112.99329739009953,144.0,,2015,
460,460,2015-04-06,-19.928937512717965,100.72692146457072,-20.22173986334532,101.06897503633805,-18.993438403165726,103.03944244760672,-16.754762070703975,99.39414699663755,-14.819445406114795,101.67617188121238,-26.802744633051375,87.85766562289577,98.0,,2015,
461,461,2015-04-07,9.136860460953685,95.41908400957178,8.667627769823,95.29437729543594,10.56195523367333,97.6193788526886,8.305338178523257,93.49702235206422,10.750926620575314,96.54458539921717,-8.56085552439805,80.91648822167033,91.0,,2015,
462,462,2015-04-08,14.51438424096699,95.45835989745663,15.231194370993165,96.00501949750226,16.45275256964733,97.95906470261491,15.39826343704577,94.69592616257535,18.07085516636134,98.7278758193452,1.9092500537224169,84.37969292526357,92.0,,2015,
463,463,2015-04-09,10.331894582898144,91.28570726537916,10.005374162611659,91.41122226644966,11.26026534179185,92.9696286163215,9.602951610303208,90.08779406803873,11.801579828792043,94.6257371154519,-6.7183875229133605,79.13193004511643,85.0,,2015,
464,464,2015-04-10,20.553551649310023,97.30568373286619,21.30681255473749,98.03946451349951,23.793106763683596,100.37059579897495,21.870059696313007,97.71923217555585,22.639700780802215,101.33510327459628,9.629761984656184,90.1326340197516,92.0,,2015,
465,465,2015-04-11,43.559520169974945,126.30255251831355,43.89876011413327,127.1791209739375,46.34647142266759,130.17674087034388,44.5735174126675,128.01035788832388,44.16085568119415,129.52961344120692,25.05731160998691,116.44666031516813,104.0,,2015,
466,466,2015-04-12,23.96345230649888,135.67388809514716,24.402243075170674,136.74038276201918,26.63724813045779,140.12005976105618,19.625412329240206,133.29353606545442,20.788911377119007,134.3082431063583,-0.7627891766958896,116.81414176258946,143.0,,2015,
467,467,2015-04-13,-19.701812705436225,101.34989319633638,-19.6451389952758,102.17098251572699,-18.1116332529203,105.15608534386119,-16.44709375169272,102.42902397614309,-14.889741901729465,103.35819096027673,-26.658213751315415,91.15033542773078,121.0,,2015,
468,468,2015-04-14,9.363981374785155,96.0609521144659,9.154454016643527,96.31658787758974,11.308216308770554,99.44960875891623,8.63417827706283,96.5565341872958,10.691794420181921,97.93570037662272,-8.39883290058242,83.60382985318661,84.0,,2015,
469,469,2015-04-15,14.741864915055132,96.11854195316675,15.628423434846155,96.94164949784454,17.06283145902104,99.47523302029437,15.747693032998882,97.6960237151972,18.020687316712355,99.78657969457234,2.0853215546230075,86.39671028608308,90.0,,2015,
470,470,2015-04-16,10.559925947054282,91.96242269430178,10.312984756092177,92.25607587316284,11.733171354163673,94.14717329697952,9.971650125346045,92.94787516154055,11.757730988505998,95.32001173385538,-6.532286675338554,80.42829070210475,90.0,,2015,
471,471,2015-04-17,20.782147135349092,97.99665413338579,21.52458703400056,98.78672753933827,24.12751942002889,101.18942122832735,22.256012564199708,100.36503505486056,22.599154426181286,101.64409394988795,9.821391837635858,90.67483734095137,130.0,,2015,
472,472,2015-04-18,43.788518239806436,127.00571014395575,44.02629445219017,127.82413366149044,46.540774920256055,130.62248885178636,44.97408225634315,130.37664419621927,44.12031118414973,129.44498673430473,25.249602002936584,116.21979620806252,169.0,,2015,
473,473,2015-04-19,24.192526178499534,136.38806335421089,24.438964116614258,137.28036163574188,26.689576589474314,140.18522613677118,20.037404202534475,135.32648029796732,20.744881551713178,133.83517978568327,-0.5749491426773119,115.82317877280073,138.0,,2015,
474,474,2015-04-20,-19.473138474380036,102.07545281915556,-19.69994955608611,102.60566292030546,-18.203340991135462,104.84094086699585,-16.02730003771883,104.08823511551084,-14.940825418437953,102.51597635870013,-26.48004133410322,89.42088900651044,87.0,,2015,
475,475,2015-04-21,9.591654726435763,96.80036135312962,9.098416896655863,96.73989998420201,11.212946123927921,98.90555560925301,9.057824623371474,97.81664616058363,10.630117534290761,96.75788521498737,-8.235509043759606,81.18237525195957,38.0,,2015,
476,476,2015-04-22,14.967838723601005,96.87682678591018,15.570245895929318,97.3598510962786,16.961741743974528,98.71989803692965,16.17104544175595,98.54780417011384,17.94501781046536,98.32069758664102,2.228797625065198,83.35021942548407,91.0,,2015,
477,477,2015-04-23,10.783437026682549,92.74751142104417,10.251711341109484,92.67915516826478,11.624014765502963,93.20722035852152,10.390497975532497,93.39881641214481,11.66492004515628,93.62685144674026,-6.413331780532957,76.84328808844629,89.0,,2015,
478,478,2015-04-24,21.002404089113682,98.81958187327142,21.459261978770343,99.2285081952808,24.008133550236266,100.10039977139017,22.66621730187211,100.4394065175667,22.486408794634215,99.7965379468245,9.911616958024624,86.65588624140439,81.0,,2015,
479,479,2015-04-25,44.00473992931225,127.88067444552895,43.95600416732357,128.30221245944304,46.409157216759624,129.4283813019515,45.3717116829028,130.1150017519902,43.985290296123196,127.52644025795243,25.307482706426256,111.8874423950244,119.0,,2015,
480,480,2015-04-26,24.40398101956262,137.33232426221926,24.36287943955614,137.81587610052327,26.543956691034595,138.93769881871287,20.41886172915939,134.784644312699,20.58578367662014,131.9376270329562,-0.5523169555492444,111.31139476074752,130.0,,2015,
481,481,2015-04-27,-19.26709376555469,103.10907615066988,-19.782532770451283,103.22289198639287,-18.364433768375406,103.59831214862882,-15.66515562936597,103.33576485059014,-15.125190654692176,100.73771170550489,-26.494751343841443,84.87407638877633,115.0,,2015,
482,482,2015-04-28,9.79177114363705,97.94580944716431,9.008793550914646,97.46570645784641,11.035269937683935,97.7315039641434,9.398076839210745,96.93485353718835,10.419962483290604,95.2009776353016,-8.288764260430426,76.75199607646435,93.0,,2015,
483,483,2015-04-29,15.161667384349954,98.15840643412596,15.473239045662865,98.2229801554749,16.76678324731384,97.68194111534247,16.487479054723238,97.62736386781934,17.70925554475832,97.08825507566313,2.1367429161239357,79.1911391396396,124.0,,2015,
484,484,2015-04-30,10.970806235069475,94.19069388994953,10.147198381970526,93.70940825538221,11.411527403765845,92.37500378572979,10.681910707950891,92.53704167135493,11.404460815404633,92.8201591413633,-6.54345771813901,73.10992208875696,94.0,,2015,
485,485,2015-05-01,21.183353380076653,100.45021472228822,21.347364545065645,100.4558162356424,23.778351605805625,99.54384100588972,22.932181177564786,99.73727040710291,22.20288820767702,99.51214852375038,9.745138828866004,83.49824918994011,100.0,,2015,
486,486,2015-05-02,44.128718419192325,129.67329053124178,43.83710161178817,129.75563623855447,46.16281093512792,129.2157192800421,45.612600264724506,129.67399175048158,43.68104810497903,127.85329792390834,25.107344115552536,109.44720398565741,109.0,,2015,
487,487,2015-05-03,24.471501521116522,139.3108495762031,24.237614203883197,139.52256472461295,26.28227327830237,139.13350410993246,20.63585346085989,134.7035435897954,20.263822315322557,132.95430690171946,-0.7824959663244613,109.71804737220462,161.0,,2015,
488,488,2015-05-04,-19.255286477548964,105.2950553880259,-19.913258287750395,105.20703253149283,-18.639743642524905,104.26151481314288,-15.47009824479457,103.70745645300221,-15.461266983404755,102.50985454699605,-26.75049237985958,84.24131896549791,108.0,,2015,
489,489,2015-05-05,9.748842963103385,100.35745544944143,8.87375833634917,99.74749910378713,10.74849979423908,98.91349714546398,9.57390189394664,97.84324369350242,10.07389816198669,97.77899590969365,-8.564824680041724,77.17443462466944,101.0,,2015,
490,490,2015-05-06,15.065199810727265,100.80968772541318,15.335270106286927,100.81767325312346,16.471132632915115,99.42481757213395,16.647446178961303,99.14451781567341,17.357759357720994,100.50537992127141,1.846253839754894,80.74139748807261,127.0,,2015,
491,491,2015-05-07,10.82219105488484,97.09049284979365,10.007873704248908,96.62642686968573,11.109934713997902,94.70998006600476,10.770600585538844,94.66124167211187,11.05240588403052,97.09088975852771,-6.841972107108276,75.83624718969017,112.0,,2015,
492,492,2015-05-08,20.98414796436397,103.6015876840259,21.20842573727208,103.69801575452023,23.47404700509398,102.48991984310547,22.954030855766888,102.5095883652312,21.855346039786383,104.63115513730872,9.445363592143465,87.42268345077541,87.0,,2015,
493,493,2015-05-09,43.93142735458375,133.12367737561857,43.70041144032858,133.3187096838236,45.859239344993625,132.77863514143937,45.57240329043651,133.1171765263739,43.343160561614184,133.79481825837672,24.813269861610564,114.56438321693052,141.0,,2015,
494,494,2015-05-10,24.277889310367385,143.04998443910085,24.105108647506455,143.39462851700048,25.98300913650725,143.3049897912931,20.538626227264558,138.82079231538543,19.940668949851045,139.67206287071215,-1.063881930445433,115.99466726785371,142.0,,2015,
495,495,2015-05-11,-19.443409419149333,109.30551146268431,-20.039622171880282,109.3684107514202,-18.931087627475918,109.01891873530802,-15.61925832531577,108.48173395462203,-15.764802639723598,109.93750228857394,-27.012352784452418,91.61629600037142,101.0,,2015,
496,496,2015-05-12,9.568007340863133,104.6145665451848,8.755459381101872,104.17072087680363,10.468632124796144,104.2197717814078,9.37784144818319,103.2371767025296,9.794536560654961,105.83110798096217,-8.800646994257846,85.55976930927064,119.0,,2015,
497,497,2015-05-13,14.893384444838347,105.28167648662321,15.226869471720988,105.46769192890297,16.206145068401028,105.22888947408185,16.409307042080442,105.10087418965202,17.106675940081928,109.0789440526818,1.6424882173039776,90.02372953894523,121.0,,2015,
