r,g,b
140.0,131.0,112.0
148.0,132.0,105.0
194.0,175.0,144.0
197.0,180.0,154.0
192.0,175.0,149.0
194.0,179.0,153.0
189.0,179.0,164.0
177.0,171.0,167.0
147.0,145.0,150.0
67.0,68.0,79.0
17.0,22.0,31.0
10.0,16.0,26.0
15.0,20.0,30.0
19.0,25.0,37.0
24.0,30.0,43.0
44.0,51.0,70.0
35.0,45.0,64.0
28.0,33.0,49.0
39.0,21.0,29.0
189.0,188.0,148.0
138.0,137.0,104.0
115.0,111.0,84.0
151.0,147.0,118.0
169.0,170.0,128.0
120.0,123.0,115.0
89.0,93.0,104.0
86.0,90.0,100.0
83.0,84.0,93.0
83.0,83.0,93.0
82.0,83.0,92.0
79.0,82.0,91.0
75.0,79.0,88.0
78.0,82.0,92.0
85.0,89.0,100.0
84.0,88.0,98.0
84.0,88.0,99.0
83.0,87.0,98.0
77.0,78.0,86.0
69.0,68.0,73.0
60.0,59.0,63.0
81.0,66.0,63.0
166.0,125.0,98.0
197.0,167.0,139.0
182.0,167.0,146.0
173.0,165.0,145.0
206.0,189.0,164.0
192.0,166.0,142.0
190.0,171.0,149.0
152.0,143.0,125.0
148.0,128.0,99.0
196.0,175.0,145.0
194.0,177.0,151.0
188.0,172.0,145.0
189.0,178.0,158.0
171.0,169.0,176.0
140.0,142.0,157.0
53.0,55.0,65.0
9.0,10.0,18.0
9.0,13.0,24.0
12.0,19.0,32.0
16.0,23.0,37.0
17.0,25.0,38.0
19.0,28.0,42.0
41.0,49.0,67.0
30.0,37.0,55.0
40.0,28.0,41.0
56.0,25.0,31.0
168.0,155.0,124.0
117.0,102.0,86.0
98.0,85.0,73.0
111.0,101.0,87.0
123.0,121.0,111.0
98.0,101.0,108.0
92.0,96.0,107.0
84.0,88.0,97.0
79.0,81.0,90.0
78.0,81.0,90.0
83.0,87.0,96.0
85.0,88.0,98.0
82.0,86.0,96.0
77.0,81.0,92.0
78.0,82.0,92.0
85.0,89.0,100.0
85.0,89.0,100.0
78.0,80.0,91.0
68.0,68.0,74.0
57.0,56.0,58.0
52.0,50.0,52.0
70.0,57.0,53.0
159.0,116.0,88.0
207.0,173.0,142.0
187.0,172.0,150.0
179.0,170.0,151.0
216.0,202.0,178.0
211.0,196.0,173.0
203.0,194.0,178.0
135.0,127.0,111.0
171.0,149.0,119.0
198.0,178.0,146.0
192.0,176.0,149.0
189.0,173.0,149.0
178.0,172.0,171.0
137.0,137.0,153.0
69.0,72.0,85.0
41.0,44.0,60.0
40.0,47.0,65.0
36.0,46.0,66.0
35.0,46.0,66.0
37.0,47.0,67.0
38.0,49.0,70.0
41.0,52.0,73.0
28.0,34.0,50.0
27.0,23.0,35.0
46.0,21.0,28.0
45.0,17.0,21.0
145.0,133.0,113.0
82.0,72.0,64.0
71.0,61.0,54.0
70.0,61.0,56.0
76.0,75.0,79.0
90.0,95.0,104.0
95.0,99.0,110.0
90.0,94.0,105.0
86.0,90.0,100.0
82.0,84.0,94.0
77.0,79.0,87.0
69.0,70.0,77.0
74.0,75.0,84.0
79.0,82.0,92.0
77.0,81.0,91.0
75.0,78.0,89.0
74.0,76.0,86.0
66.0,66.0,73.0
56.0,56.0,58.0
50.0,49.0,50.0
45.0,43.0,44.0
61.0,50.0,47.0
141.0,100.0,76.0
168.0,145.0,126.0
175.0,163.0,146.0
183.0,172.0,153.0
218.0,204.0,181.0
222.0,210.0,190.0
189.0,183.0,171.0
135.0,126.0,111.0
187.0,167.0,139.0
196.0,175.0,144.0
189.0,172.0,146.0
182.0,171.0,162.0
138.0,136.0,149.0
47.0,50.0,62.0
67.0,73.0,91.0
71.0,80.0,102.0
54.0,65.0,88.0
58.0,69.0,93.0
63.0,75.0,99.0
61.0,75.0,98.0
55.0,67.0,89.0
32.0,39.0,56.0
21.0,18.0,30.0
38.0,17.0,23.0
40.0,13.0,18.0
38.0,12.0,16.0
150.0,136.0,116.0
74.0,65.0,59.0
51.0,42.0,38.0
54.0,41.0,38.0
73.0,63.0,60.0
96.0,99.0,105.0
92.0,97.0,108.0
82.0,86.0,96.0
76.0,77.0,86.0
