x_coordinate,y_coordinate,r,g,b
3.0,5.0,156.0,160.0,129.0
3.0,6.0,166.0,164.0,128.0
3.0,7.0,174.0,171.0,134.0
3.0,8.0,157.0,159.0,131.0
3.0,9.0,145.0,146.0,130.0
3.0,10.0,151.0,149.0,134.0
3.0,11.0,178.0,172.0,149.0
3.0,12.0,213.0,204.0,169.0
3.0,13.0,195.0,192.0,156.0
3.0,14.0,157.0,162.0,131.0
3.0,15.0,152.0,159.0,133.0
3.0,16.0,161.0,162.0,140.0
3.0,17.0,164.0,160.0,147.0
3.0,18.0,181.0,185.0,186.0
3.0,19.0,178.0,188.0,195.0
3.0,20.0,157.0,167.0,175.0
3.0,21.0,173.0,176.0,176.0
3.0,22.0,225.0,211.0,195.0
3.0,23.0,186.0,151.0,122.0
3.0,24.0,198.0,171.0,140.0
3.0,25.0,205.0,173.0,132.0
3.0,26.0,194.0,158.0,114.0
3.0,27.0,183.0,146.0,101.0
3.0,28.0,176.0,137.0,96.0
3.0,29.0,172.0,131.0,99.0
3.0,30.0,135.0,104.0,76.0
3.0,31.0,134.0,115.0,86.0
3.0,32.0,132.0,116.0,90.0
3.0,33.0,126.0,112.0,89.0
3.0,34.0,130.0,115.0,91.0
3.0,35.0,140.0,124.0,98.0
3.0,36.0,151.0,135.0,108.0
3.0,37.0,153.0,137.0,112.0
3.0,38.0,155.0,139.0,112.0
3.0,39.0,170.0,151.0,122.0
3.0,40.0,148.0,136.0,124.0
3.0,41.0,120.0,121.0,136.0
3.0,42.0,121.0,125.0,145.0
3.0,43.0,98.0,104.0,127.0
3.0,44.0,84.0,91.0,114.0
3.0,45.0,62.0,70.0,92.0
3.0,46.0,35.0,33.0,47.0
3.0,47.0,55.0,47.0,61.0
3.0,48.0,67.0,57.0,74.0
4.0,1.0,134.0,152.0,105.0
4.0,2.0,121.0,145.0,95.0
4.0,3.0,106.0,128.0,81.0
4.0,4.0,134.0,146.0,115.0
4.0,5.0,142.0,147.0,124.0
4.0,6.0,157.0,158.0,139.0
4.0,7.0,153.0,153.0,150.0
4.0,8.0,132.0,134.0,136.0
4.0,9.0,128.0,129.0,133.0
